VDBName,SchemaName,Name,TABLE_TYPE,Description,TYPE_CAT,TYPE_SCHEM,TYPE_NAME,SELF_REFERENCING_COL_NAME,REF_GENERATION,IsPhysical
a1epdm10-88-107-253,Model-a1epdm10-88-107-253,A1ZJK.CD_ATTRIBUTE_SOFTWARE,TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,Model-a1epdm10-88-107-253,A1ZJK.CD_ATTRIBUTE_SPECS_VALUE,TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,Model-a1epdm10-88-107-253,A1ZJK.CD_ATTRIBUTE_SYNONYMS,TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,Model-a1epdm10-88-107-253,A1ZJK.CD_CHANGE_DATA,TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,Model-a1epdm10-88-107-253,A1ZJK.CD_COMPLETION,TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,Model-a1epdm10-88-107-253,A1ZJK.CD_COORDINATE_SYSTEM,TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,Model-a1epdm10-88-107-253,A1ZJK.CD_DATUM,TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,Model-a1epdm10-88-107-253,A1ZJK.CD_DEV_WELL_ATTR,TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,Model-a1epdm10-88-107-253,A1ZJK.CD_EMPLOYEE,TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,Model-a1epdm10-88-107-253,A1ZJK.CD_EQUIP,TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,Model-a1epdm10-88-107-253,A1ZJK.CD_EVENT,TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,Model-a1epdm10-88-107-253,A1ZJK.CD_GEO_UNIT,TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,Model-a1epdm10-88-107-253,A1ZJK.CD_GEO_UNIT_BAK,TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,Model-a1epdm10-88-107-253,A1ZJK.CD_GEO_UNIT_HISTORY_INFO,TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,Model-a1epdm10-88-107-253,A1ZJK.CD_GROUP_UNIT,TABLE,null,null,null,null,null,null,true
